postal_code,lat,lon
469970,1.312420023,103.93862850000001
533885,1.373525853,103.9027083
506853,1.3580045440000001,103.96572540000001
68814,1.2770834070000001,103.8491813
89775,1.275874835,103.84048100000001
399945,1.306554211,103.8888469
149312,1.299517208,103.80280690000001
357686,1.338682428,103.869252
465520,1.314137574,103.9377425
358393,1.3369882229999999,103.864798
358394,1.337841482,103.8641992
547387,1.361744549,103.8838628
208393,1.31291564,103.8569247
368063,1.341091275,103.88145759999999
416878,1.3227760579999999,103.9105282
533813,1.370170753,103.89999859999999
98619,1.250048494,103.84631929999999
238844,1.301978369,103.839759
229160,1.30301094,103.8387183
548190,1.359716762,103.883197
267953,1.314421655,103.803913
609774,1.3438943069999998,103.7340255
358392,1.33643269,103.86504129999999
257496,1.3219360820000001,103.8138709
554343,1.36620696,103.8704053
439942,1.30110712,103.90186340000001
329802,1.325744091,103.85038259999999
59108,1.284128627,103.8425848
528583,1.35021013,103.92727459999999
438795,1.306349113,103.8978079
247656,1.2938490759999999,103.82158170000001
189350,1.29916296,103.8578595
409055,1.31640942,103.89269209999999
757616,1.44078465,103.82296159999999
399915,1.309676858,103.88064279999999
408974,1.318276499,103.9026196
805189,1.3798668280000002,103.8714205
358398,1.336796965,103.86533109999999
238026,1.293204799,103.8402017
534202,1.3721978080000001,103.9015399
118173,1.28117898,103.79103640000001
518071,1.372034705,103.94640179999999
518184,1.3772798780000002,103.96099509999999
648342,1.339971674,103.70549709999999
609478,1.345598724,103.7331137
828758,1.4062480609999999,103.90208890000001
596289,1.335219894,103.7818413
534031,1.3787145319999998,103.9031256
768894,1.4328189059999998,103.84147759999999
554339,1.3660829319999999,103.8732053
554340,1.36618703,103.8736748
459135,1.30955906,103.91834859999999
309466,1.316446355,103.84625859999998
357688,1.3385388390000001,103.87008
797390,1.39858782,103.8746323
148962,1.291149506,103.8045736
358677,1.344076127,103.8627406
307956,1.315348738,103.841448
518133,1.368452652,103.9461464
398026,1.31431128,103.8907141
425303,1.310589193,103.90951340000001
457404,1.311147083,103.9264569
427894,1.313952247,103.905225
328805,1.325380805,103.8531119
469974,1.3129924590000002,103.9399144
